#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
2.170	0.147	7.035	111.6	9.513	-250.5	8.224	-253.9	17.16	-729
2.250	0.147	6.37	-12.04	6.147	-65.17	7.37	-462.1	13.28	-2119
2.340	0.147	8.002	-47.27	6.624	30.41	6.626	-57.41	7.403	-2167
2.425	0.147	8.619	-24.92	7.366	16.32	6.047	182.1	5.64	-1823
2.480	0.147	8.575	-15.55	7.499	7.461	5.793	247.2	5.162	-1725
0.020	0.173	6.148	-246	5.322	-110.9	5.555	-199	13.15	-1159
0.069	0.173	6.26	-244.6	5.439	-117.2	5.66	-200	13.42	-1092
0.134	0.173	6.479	-242.8	5.667	-131	5.875	-201.6	13.89	-1016
0.217	0.173	6.756	-243.3	5.951	-154.4	6.18	-202	14.25	-1134
0.316	0.173	6.906	-241.7	6.079	-177.7	6.409	-191.1	13.44	-1817
0.410	0.173	6.753	-161.2	5.892	-104.2	6.01	-137.6	11.28	-1905
0.490	0.173	6.568	27.01	5.959	36.28	5.305	-131.4	12.26	608.6
0.570	0.173	6.141	149.5	5.94	-59.09	4.716	-265.7	13.17	1159
0.650	0.173	5.704	137.6	6.075	-317.1	4.25	-213.9	5.423	-2878
0.730	0.173	5.442	106.8	5.26	-183	3.808	-220.8	1.309	-6474
0.810	0.173	4.827	-52.13	4.052	-54.91	3.257	-344.3	2.228	-3738
0.890	0.173	4.11	-145.1	3.449	-202.5	2.292	-47.58	8.268	-3.851
0.970	0.173	3.282	-154.9	3.052	-352.8	2.075	-277.6	3.642	-2061
1.050	0.173	2.7	-245.7	2.122	-41.92	2.668	-692.4	0.6677	-3676
1.130	0.173	2.979	-223.1	2.065	262.4	3.199	-565.3	0.3631	-2515
1.210	0.173	3.878	-159.4	2.803	273.3	4.391	-806.8	0.7238	-483.9
1.290	0.173	4.519	-115.6	3.893	99.19	5.675	-798.1	1.649	-297.7
1.370	0.173	4.572	101.1	5.053	-62.69	6.985	-421.4	6.469	325.6
1.450	0.173	3.924	188.9	4.539	34.92	4.457	-190.4	4.646	-149.7
1.530	0.173	4.046	-36.66	4.668	-151.7	2.948	-167.8	1.083	8.117
1.610	0.173	5.481	30.34	7.683	-225	4.991	-141.2	1.838	-174.2
1.690	0.173	6.58	187.3	7.366	36.38	5.378	-83.91	16.9	-1909
1.770	0.173	5.422	41.23	5.019	121	3.886	-207.4	30.37	349.9
1.850	0.173	3.394	57.01	4.582	-112.3	4.146	-234.5	8.524	1083
1.930	0.173	3.002	258.5	4.151	-370	3.591	-92	33.94	1923
2.010	0.173	8.932	83.08	10.05	-337.5	10.49	-247.9	38.71	4196
2.090	0.173	15.92	145.6	17.73	-105.8	10.6	45.08	5.929	3133
